% 1. Title: Abyss character database
% 
% 2. Sources:
%      (a) Creator: All players of Abyss
%      (b) NeTT
% 
% 3. Relevant Information:
%    --- Data with abyss stats
% 
% 4. Number of Instances: 150 (50 in each of three classes)
% 
% 5. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 6. Attribute Information:
%    1. Player balance
%    2. Player sp
%    3. Player vitality
%    4. Player experience
%    5. Player physical defense
%    6. Player player magic defense
%    7. Player class: 
%       -- Ascended
%       -- Novice
% 
% 7. Missing Attribute Values: None

@RELATION abyss

@ATTRIBUTE balance	REAL
@ATTRIBUTE sp 	REAL
@ATTRIBUTE vit 	REAL
@ATTRIBUTE def	REAL
@ATTRIBUTE mdef	REAL
@ATTRIBUTE class 	{Novice,Ascended}

@DATA

1,110,780,0,0,Novice
3672,83,403,16,11,Novice
25,13,35,3,6,Novice
8596,2,1,0,0,Novice
11622,4,11,0,0,Novice
41101,25,65,18,16,Novice
1003,13,57,4,2,Novice
632115,20,62,5,5,Novice
0,21,64,1,0,Novice
9,4,42,1,0,Novice
1675,6,18,0,0,Novice
3032,27,118,14,10,Novice
16366,9,18,5,6,Novice
57345,10,33,0,0,Novice
33728,215,885,79,81,Ascended
7655,3,7,0,0,Novice
4951,2,3,0,0,Novice
743,306,1086,159,132,Ascended
22440,27,123,0,1,Novice
9038,6,24,6,1,Novice
38397,7,28,1,0,Novice
79,206,1095,82,87,Ascended
73805,355,2690,104,101,Ascended
10321,68,313,45,38,Novice
13777,38,218,30,32,Novice
14012,45,261,32,31,Novice
12478,19,45,4,3,Novice
9,35,199,6,15,Novice
2,123,851,48,49,Novice
90,224,1149,72,84,Ascended
9860,104,573,46,56,Novice
64,44,182,31,32,Novice
417,15,43,4,6,Novice
71,16,51,1,3,Novice
198,95,342,45,34,Novice
101,10,30,2,0,Novice
432,106,479,40,40,Novice
952,31,140,11,8,Novice
88654,386,1304,210,191,Ascended
363,53,222,51,46,Novice
190,12,38,2,4,Novice
5315,2,4,0,0,Novice
123100,85,283,53,48,Novice
3630,2,4,0,0,Novice
8100,129,403,47,32,Novice
1,94,459,44,47,Novice
346,39,175,21,13,Novice
3432,763,4277,247,162,Ascended
540,2,7,0,0,Novice
0,131,471,42,41,Novice
4098,174,578,77,73,Novice
36,139,608,33,34,Novice
52756,5,14,0,1,Novice
107365,30,125,27,26,Novice
10982,17,74,2,6,Novice
5874,2,7,0,0,Novice
9,439,1629,98,83,Ascended
24800,5,6,0,0,Novice
